"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"39","OH",NA,NA,2444923,9208790,48290306,10936212,11290276,5785785,7876249,8759947,2443088,715704,299742,106708,76595,"39-00000-20190401"
"2","State",2019-04-02,"39","OH",NA,NA,2276000,9377713,50205988,11477661,11386733,5995563,8314391,9276358,2507442,749776,288205,121630,88229,"39-00000-20190402"
"3","State",2019-04-03,"39","OH",NA,NA,2316631,9337082,52682390,11899942,12243133,6450694,8808574,9633141,2551034,687434,234794,98749,74895,"39-00000-20190403"
"4","State",2019-04-04,"39","OH",NA,NA,2261545,9392168,51686873,11466263,11974267,6207790,8831433,9695416,2478079,664972,220761,88490,59402,"39-00000-20190404"
"5","State",2019-04-05,"39","OH",NA,NA,2264453,9389260,51453083,11110324,11934763,6318670,8914695,9613569,2525185,658194,230893,88895,57895,"39-00000-20190405"
"6","State",2019-04-06,"39","OH",NA,NA,2376903,9276810,52160059,11732066,12601603,6648081,8876406,8898732,2377036,672287,225402,77071,51375,"39-00000-20190406"
"7","State",2019-04-07,"39","OH",NA,NA,2492410,9161303,46670702,10635600,11747425,6022993,7869516,7471122,1956383,621755,215457,83742,46709,"39-00000-20190407"
"8","State",2019-04-08,"39","OH",NA,NA,2322681,9331032,50730101,11475244,11774447,6147876,8462560,9301526,2509635,664820,238940,97282,57771,"39-00000-20190408"
"9","State",2019-04-09,"39","OH",NA,NA,2293447,9360266,51372492,11685256,11807751,6168383,8587273,9512386,2543303,671558,240486,98228,57868,"39-00000-20190409"
"10","State",2019-04-10,"39","OH",NA,NA,2364192,9289521,53471974,11883968,12577633,6515371,9095957,9964349,2554867,591175,178109,66128,44417,"39-00000-20190410"
"11","State",2019-04-11,"39","OH",NA,NA,2435351,9218362,55939397,12564593,13126330,6782962,9423163,10444750,2748372,598553,159255,58546,32873,"39-00000-20190411"
"12","State",2019-04-12,"39","OH",NA,NA,2335253,9318460,54019462,11653052,12682414,6620156,9306895,10185989,2701975,612927,165642,59482,30930,"39-00000-20190412"
"13","State",2019-04-13,"39","OH",NA,NA,2512685,9141028,54904308,12292365,13232661,6976734,9414031,9579499,2534364,632245,161476,52443,28490,"39-00000-20190413"
"14","State",2019-04-14,"39","OH",NA,NA,2613913,9039800,46100350,10222143,11603257,5952508,7882100,7616680,1991964,558439,174919,64298,34042,"39-00000-20190414"
"15","State",2019-04-15,"39","OH",NA,NA,2400706,9253007,52102127,11738903,12229833,6308942,8752945,9635072,2579949,584918,166619,67325,37621,"39-00000-20190415"
"16","State",2019-04-16,"39","OH",NA,NA,2355104,9298609,53176877,12121963,12315182,6337997,8983388,9894745,2645441,597491,177019,67720,35931,"39-00000-20190416"
"17","State",2019-04-17,"39","OH",NA,NA,2398425,9255288,55186513,12455313,13012709,6704733,9293303,10235215,2663891,578679,152105,56670,33895,"39-00000-20190417"
"18","State",2019-04-18,"39","OH",NA,NA,2366747,9286966,55867456,12474765,13085877,6821393,9476639,10439846,2737007,589262,152753,56846,33068,"39-00000-20190418"
"19","State",2019-04-19,"39","OH",NA,NA,2388865,9264848,53647179,11398791,12697209,6637739,9274140,10128177,2639354,608200,165579,63033,34957,"39-00000-20190419"
"20","State",2019-04-20,"39","OH",NA,NA,2573751,9079962,52277938,11397547,12979146,6736520,9009133,9012385,2313598,585001,160250,53455,30903,"39-00000-20190420"
"21","State",2019-04-21,"39","OH",NA,NA,2769825,8883888,46399419,10214439,11633693,6125179,8029665,7592404,1979333,550997,174132,67472,32105,"39-00000-20190421"
"22","State",2019-04-22,"39","OH",NA,NA,2376856,9276857,50150155,11679710,11661108,5833387,8312210,9109652,2466981,660729,257032,113694,55652,"39-00000-20190422"
"23","State",2019-04-23,"39","OH",NA,NA,2192863,9460850,49538218,11496409,11477462,5710663,8167569,9003136,2519103,721549,267919,119023,55385,"39-00000-20190423"
"24","State",2019-04-24,"39","OH",NA,NA,2171941,9481772,51216167,11608288,11998911,5980278,8582270,9453196,2494269,713160,246194,91640,47961,"39-00000-20190424"
"25","State",2019-04-25,"39","OH",NA,NA,2113082,9540631,50612053,11206075,11841323,5897578,8448005,9581007,2569395,691489,236478,89850,50853,"39-00000-20190425"
"26","State",2019-04-26,"39","OH",NA,NA,2132091,9521622,50154500,10844123,11763685,6012894,8423403,9522523,2472858,713034,262238,86502,53240,"39-00000-20190426"
"27","State",2019-04-27,"39","OH",NA,NA,2314748,9338965,49378061,11088354,12041902,6062017,8163090,8608545,2273732,753084,260166,81891,45280,"39-00000-20190427"
"28","State",2019-04-28,"39","OH",NA,NA,2315415,9338298,45356505,10537622,11648637,5571091,7403911,7209001,1917058,646313,275432,98446,48994,"39-00000-20190428"
"29","State",2019-04-29,"39","OH",NA,NA,2151567,9502146,48835611,11189217,11568845,5612672,7960242,8931244,2438910,690132,276293,108080,59976,"39-00000-20190429"
"30","State",2019-04-30,"39","OH",NA,NA,2116910,9536803,49180780,11234588,11571694,5650338,8048735,9113715,2427753,713568,250309,111610,58470,"39-00000-20190430"
"31","State",2019-05-01,"39","OH",NA,NA,2167642,9486071,51544720,11849383,12330775,6023286,8421951,9482867,2426348,651268,222715,88577,47550,"39-00000-20190501"
"32","State",2019-05-02,"39","OH",NA,NA,2231805,9421908,51765970,11490937,12232609,6122051,8733049,9696840,2488978,639212,232006,86414,43874,"39-00000-20190502"
"33","State",2019-05-03,"39","OH",NA,NA,2278483,9375230,51117848,10914346,12006837,6278195,8732742,9639174,2535437,653912,228886,86893,41426,"39-00000-20190503"
"34","State",2019-05-04,"39","OH",NA,NA,2419908,9233805,49966359,10991147,12203061,6296010,8443902,8764271,2268532,650214,228828,80166,40228,"39-00000-20190504"
"35","State",2019-05-05,"39","OH",NA,NA,2428612,9225101,48207651,11256635,12144923,6123796,8031451,7666534,1994152,627110,229098,90739,43213,"39-00000-20190505"
"36","State",2019-05-06,"39","OH",NA,NA,2289387,9364326,48750397,10645500,11927394,5989220,8295041,8889150,2178083,509506,167592,72052,76859,"39-00000-20190506"
"37","State",2019-05-07,"39","OH",NA,NA,2260295,9393418,50842797,11334009,12404652,6283087,8621889,9138447,2224549,511484,167596,74403,82681,"39-00000-20190507"
"38","State",2019-05-08,"39","OH",NA,NA,2238354,9415359,50976695,11352774,12139810,6216133,8739895,9406199,2271185,515084,168123,75295,92197,"39-00000-20190508"
"39","State",2019-05-09,"39","OH",NA,NA,2219055,9434658,50924481,11358310,12267483,6248329,8662892,9268775,2262425,533220,169204,70424,83419,"39-00000-20190509"
"40","State",2019-05-10,"39","OH",NA,NA,2147000,9506713,50064205,10362044,11965586,6279488,8756860,9409576,2363001,584344,187072,75178,81056,"39-00000-20190510"
"41","State",2019-05-11,"39","OH",NA,NA,2254323,9399390,50232192,10989379,12386604,6420045,8654143,8687222,2162966,576136,186651,82433,86613,"39-00000-20190511"
"42","State",2019-05-12,"39","OH",NA,NA,2364308,9289405,41961948,8542097,10472468,5413020,7459720,7318751,1810677,547280,191597,91708,114630,"39-00000-20190512"
"43","State",2019-05-13,"39","OH",NA,NA,2273790,9379923,44492492,9375495,10675457,5502822,7740091,8278310,2041781,506356,171564,87035,113581,"39-00000-20190513"
"44","State",2019-05-14,"39","OH",NA,NA,2226232,9427481,48852134,10843879,11638171,6071630,8443702,8833703,2139002,512863,172931,85791,110462,"39-00000-20190514"
"45","State",2019-05-15,"39","OH",NA,NA,2209172,9444541,49457379,11054149,11744810,6024185,8472755,9046606,2193697,534414,181074,91100,114589,"39-00000-20190515"
"46","State",2019-05-16,"39","OH",NA,NA,2169882,9483831,48315701,10452917,11259534,5942792,8384818,9125608,2205947,547012,186732,98115,112226,"39-00000-20190516"
"47","State",2019-05-17,"39","OH",NA,NA,2126365,9527348,50452409,11064608,11821384,6222839,8771672,9321160,2248947,590289,199347,95409,116754,"39-00000-20190517"
"48","State",2019-05-18,"39","OH",NA,NA,2293011,9360702,51168452,11732071,12398535,6506158,8692880,8733464,2140330,579467,188562,89679,107306,"39-00000-20190518"
"49","State",2019-05-19,"39","OH",NA,NA,2383526,9270187,43962844,9736014,11117194,5616912,7515424,7288896,1754657,540103,196083,92550,105011,"39-00000-20190519"
"50","State",2019-05-20,"39","OH",NA,NA,2275024,9378689,47406781,10243811,11283219,5831881,8165657,8886297,2120462,497513,174595,87609,115737,"39-00000-20190520"
"51","State",2019-05-21,"39","OH",NA,NA,2258533,9395180,50051963,11201165,11653444,6131544,8595761,9330072,2251350,514670,167195,85290,121472,"39-00000-20190521"
"52","State",2019-05-22,"39","OH",NA,NA,2209601,9444112,50705193,11350861,11834734,6167804,8717799,9466167,2299628,508550,171207,81515,106928,"39-00000-20190522"
"53","State",2019-05-23,"39","OH",NA,NA,2199725,9453988,47554415,10039179,11075737,5837028,8412205,9086429,2235873,512758,169732,87509,97965,"39-00000-20190523"
"54","State",2019-05-24,"39","OH",NA,NA,2170777,9482936,51044581,11064076,11987820,6315279,8880061,9453824,2367813,581200,197619,92423,104466,"39-00000-20190524"
"55","State",2019-05-25,"39","OH",NA,NA,2291762,9361951,50474262,11495374,12256500,6261863,8732676,8679309,2083161,577728,198155,88503,100993,"39-00000-20190525"
"56","State",2019-05-26,"39","OH",NA,NA,2425543,9228170,46547692,10597421,11525609,5913194,7990915,7767319,1837438,533081,190495,86618,105602,"39-00000-20190526"
"57","State",2019-05-27,"39","OH",NA,NA,2560798,9092915,43268270,9795687,11212988,5406486,7201069,7045918,1720485,514524,179381,88449,103283,"39-00000-20190527"
"58","State",2019-05-28,"39","OH",NA,NA,2374290,9279423,50278256,11376447,12092794,6083318,8449167,9182946,2260862,510288,160251,76027,86156,"39-00000-20190528"
"59","State",2019-05-29,"39","OH",NA,NA,2317329,9336384,50929704,11467788,12064186,6144153,8618855,9419114,2362254,517787,162094,79865,93608,"39-00000-20190529"
"60","State",2019-05-30,"39","OH",NA,NA,2256087,9397626,48279904,10350573,11318396,5860008,8333568,9244297,2328488,524095,155672,75640,89167,"39-00000-20190530"
"61","State",2019-05-31,"39","OH",NA,NA,2273268,9380445,52592237,11575115,12382857,6472354,9011472,9768647,2439596,589159,186254,78436,88347,"39-00000-20190531"
"62","State",2019-06-01,"39","OH",NA,NA,2439291,9214422,51014180,11775094,12540499,6420056,8564534,8641442,2146566,573169,182285,81458,89077,"39-00000-20190601"
"63","State",2019-06-02,"39","OH",NA,NA,2458716,9194997,46817722,10644835,12000874,5930927,7932324,7549570,1836936,548469,187913,92299,93575,"39-00000-20190602"
"64","State",2019-06-03,"39","OH",NA,NA,2280992,9372721,53457559,12132531,12939287,6546166,9109615,9513340,2357578,518000,163689,83155,94198,"39-00000-20190603"
"65","State",2019-06-04,"39","OH",NA,NA,2276984,9376729,51245079,11505970,12140810,6178658,8824800,9422822,2318201,523980,165508,73624,90706,"39-00000-20190604"
"66","State",2019-06-05,"39","OH",NA,NA,2194351,9459362,47321084,10025847,10959029,5663296,8269377,9197521,2347994,541120,155091,73182,88627,"39-00000-20190605"
"67","State",2019-06-06,"39","OH",NA,NA,2248905,9404808,53020336,11805704,12459722,6451579,9194835,9778506,2435370,556822,163927,81769,92102,"39-00000-20190606"
"68","State",2019-06-07,"39","OH",NA,NA,2231806,9421907,55904555,12795051,13119249,6817024,9577947,10078784,2538207,608642,189600,90541,89510,"39-00000-20190607"
"69","State",2019-06-08,"39","OH",NA,NA,2336120,9317593,54242602,12788243,13228295,6674534,9135598,9103584,2340109,612525,184738,87440,87536,"39-00000-20190608"
"70","State",2019-06-09,"39","OH",NA,NA,2458585,9195128,45822770,10055829,11695737,5929407,7817440,7534333,1840705,560817,198773,95385,94344,"39-00000-20190609"
"71","State",2019-06-10,"39","OH",NA,NA,2331317,9322396,47431579,10057798,11453618,5858485,8108297,8809990,2278661,535375,171796,74444,83115,"39-00000-20190610"
"72","State",2019-06-11,"39","OH",NA,NA,2311222,9342491,50052971,10845338,11853942,6155638,8680654,9324066,2339507,522506,166924,68563,95833,"39-00000-20190611"
"73","State",2019-06-12,"39","OH",NA,NA,2263250,9390463,49223714,10669582,11511331,5934494,8555182,9301898,2366076,548253,168164,67871,100863,"39-00000-20190612"
"74","State",2019-06-13,"39","OH",NA,NA,2256953,9396760,49165018,10719679,11379952,5886235,8583062,9305692,2394691,562070,165364,70367,97906,"39-00000-20190613"
"75","State",2019-06-14,"39","OH",NA,NA,2237859,9415854,53190892,11815839,12382876,6429859,9215819,9838319,2536218,624105,184818,78184,84855,"39-00000-20190614"
"76","State",2019-06-15,"39","OH",NA,NA,2336408,9317305,51109501,11565980,12416279,6357461,8694808,8895975,2267727,595546,174353,63684,77688,"39-00000-20190615"
"77","State",2019-06-16,"39","OH",NA,NA,2453484,9200229,42513863,9104448,10701082,5346718,7280371,7319646,1856223,552782,189125,77660,85808,"39-00000-20190616"
