"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"49","UT",NA,NA,692609,2458832,14523484,3554547,3902939,1903226,2109349,1888582,682852,224154,187301,38481,32053,"49-00000-20190401"
"2","State",2019-04-02,"49","UT",NA,NA,669296,2482145,14005623,3500864,3784772,1765408,2004527,1813107,656150,224815,194013,36807,25160,"49-00000-20190402"
"3","State",2019-04-03,"49","UT",NA,NA,686326,2465115,14531737,3536425,4005901,1893853,2077338,1875197,694875,218989,174651,33537,20971,"49-00000-20190403"
"4","State",2019-04-04,"49","UT",NA,NA,676011,2475430,15261783,3767227,4191908,1988677,2212944,1953063,665499,227881,196150,35233,23201,"49-00000-20190404"
"5","State",2019-04-05,"49","UT",NA,NA,674262,2477179,15167592,3671243,4144817,2001892,2234484,1920525,684340,232577,216700,35382,25632,"49-00000-20190405"
"6","State",2019-04-06,"49","UT",NA,NA,695702,2455739,14380216,3440983,4088419,1934302,2109596,1719935,608531,216877,203350,33518,24705,"49-00000-20190406"
"7","State",2019-04-07,"49","UT",NA,NA,731765,2419676,12775108,3113900,3606086,1626009,1773962,1500316,607906,228276,245799,46670,26184,"49-00000-20190407"
"8","State",2019-04-08,"49","UT",NA,NA,678834,2472607,14836854,3721329,4068346,1911875,2119254,1844961,673096,222721,202422,42451,30399,"49-00000-20190408"
"9","State",2019-04-09,"49","UT",NA,NA,669597,2481844,14583663,3696874,3940975,1857789,2102951,1844110,656911,222128,196833,35611,29481,"49-00000-20190409"
"10","State",2019-04-10,"49","UT",NA,NA,694027,2457414,15576186,3974291,4407254,2001034,2256660,1895515,615306,195570,173574,34434,22548,"49-00000-20190410"
"11","State",2019-04-11,"49","UT",NA,NA,698465,2452976,16226955,4043703,4581882,2140695,2345851,1977136,661367,208096,204411,36818,26996,"49-00000-20190411"
"12","State",2019-04-12,"49","UT",NA,NA,677664,2473777,15928943,3827065,4553668,2122989,2294735,1958943,651697,225720,225244,42265,26617,"49-00000-20190412"
"13","State",2019-04-13,"49","UT",NA,NA,721465,2429976,16251149,3930448,4743350,2175451,2346310,1870782,652414,236210,235822,35331,25031,"49-00000-20190413"
"14","State",2019-04-14,"49","UT",NA,NA,763137,2388304,14031825,3676409,4085527,1743476,1903363,1525680,555104,218472,243619,49601,30574,"49-00000-20190414"
"15","State",2019-04-15,"49","UT",NA,NA,683020,2468421,15228830,3772600,4233461,2046224,2187872,1841522,640356,211345,220452,43837,31161,"49-00000-20190415"
"16","State",2019-04-16,"49","UT",NA,NA,683862,2467579,14977761,3669090,4240502,1967052,2147155,1822432,622561,208760,223286,44940,31983,"49-00000-20190416"
"17","State",2019-04-17,"49","UT",NA,NA,684428,2467013,16335303,4113384,4617331,2121789,2339773,2003974,655661,214248,204702,38736,25705,"49-00000-20190417"
"18","State",2019-04-18,"49","UT",NA,NA,679867,2471574,16865853,4299401,4729230,2171281,2430017,2076270,696043,213023,188917,37710,23961,"49-00000-20190418"
"19","State",2019-04-19,"49","UT",NA,NA,661953,2489488,17044795,4166581,4812283,2252375,2477346,2115559,708632,233929,219096,37158,21836,"49-00000-20190419"
"20","State",2019-04-20,"49","UT",NA,NA,715556,2435885,16481862,4027761,4743735,2168810,2387386,1926713,698848,250667,217305,40880,19757,"49-00000-20190420"
"21","State",2019-04-21,"49","UT",NA,NA,792288,2359153,13434434,3494524,3936790,1643737,1782455,1474562,529855,229907,265894,51007,25703,"49-00000-20190421"
"22","State",2019-04-22,"49","UT",NA,NA,656890,2494551,14426849,3480604,3834528,1944837,2106354,1929074,714505,221529,142673,32074,20671,"49-00000-20190422"
"23","State",2019-04-23,"49","UT",NA,NA,607477,2543964,14435010,3375649,3736597,1978670,2143025,2017152,793998,210447,125539,32891,21042,"49-00000-20190423"
"24","State",2019-04-24,"49","UT",NA,NA,613138,2538303,14850994,3394449,3979319,1934420,2305237,2085612,790164,202810,114048,28406,16529,"49-00000-20190424"
"25","State",2019-04-25,"49","UT",NA,NA,596655,2554786,15221072,3452434,4045030,2027853,2379290,2110059,818416,209925,129508,31317,17240,"49-00000-20190425"
"26","State",2019-04-26,"49","UT",NA,NA,592789,2558652,14795422,3304802,3951603,1937605,2320176,2058015,801321,223493,146579,33276,18552,"49-00000-20190426"
"27","State",2019-04-27,"49","UT",NA,NA,626671,2524770,14840984,3325927,4016938,2007334,2293589,2005245,778089,227085,138175,31735,16867,"49-00000-20190427"
"28","State",2019-04-28,"49","UT",NA,NA,642993,2508448,12564930,2848485,3349613,1611700,1896413,1720555,701534,224336,155734,37397,19163,"49-00000-20190428"
"29","State",2019-04-29,"49","UT",NA,NA,601174,2550267,13941182,3276891,3632039,1788898,2107700,1947706,757878,228093,142019,38378,21580,"49-00000-20190429"
"30","State",2019-04-30,"49","UT",NA,NA,595901,2555540,13992626,3227328,3746964,1756574,2140359,1953690,760232,212973,137534,36711,20261,"49-00000-20190430"
"31","State",2019-05-01,"49","UT",NA,NA,602344,2549097,14775617,3457503,3922916,1923219,2313097,2002606,781585,207856,120104,28562,18169,"49-00000-20190501"
"32","State",2019-05-02,"49","UT",NA,NA,637461,2513980,15214906,3601461,4062881,2056624,2304405,1976812,810572,221349,134865,29137,16800,"49-00000-20190502"
"33","State",2019-05-03,"49","UT",NA,NA,657814,2493627,14951064,3429952,4113747,2044380,2215471,1959516,736166,232323,167777,33671,18061,"49-00000-20190503"
"34","State",2019-05-04,"49","UT",NA,NA,684783,2466658,14778855,3401564,4113085,2000793,2173308,1907183,726762,237922,172111,30332,15795,"49-00000-20190504"
"35","State",2019-05-05,"49","UT",NA,NA,707505,2443936,12670041,3083717,3499526,1581955,1787749,1549252,659290,233317,216140,38445,20650,"49-00000-20190505"
"36","State",2019-05-06,"49","UT",NA,NA,650582,2500859,13882537,3232267,3834569,1916061,2091631,1811711,645762,179868,111209,26824,32635,"49-00000-20190506"
"37","State",2019-05-07,"49","UT",NA,NA,647768,2503673,14067409,3281050,3875739,1918916,2110841,1851827,676214,183271,108922,27621,33008,"49-00000-20190507"
"38","State",2019-05-08,"49","UT",NA,NA,644957,2506484,14160730,3279020,3867555,1962077,2128861,1879619,693777,181702,110904,25911,31304,"49-00000-20190508"
