"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"33","NH",NA,NA,279951,1072360,5768773,976345,1285663,737184,967246,1139037,474459,129583,37129,4643,17484,"33-00000-20190401"
"2","State",2019-04-02,"33","NH",NA,NA,260943,1091368,5741965,985406,1254149,732910,971237,1121242,488333,116899,35992,5873,29924,"33-00000-20190402"
"3","State",2019-04-03,"33","NH",NA,NA,266396,1085915,5913776,1007564,1316741,759422,1002446,1182676,464595,113875,34658,5540,26259,"33-00000-20190403"
"4","State",2019-04-04,"33","NH",NA,NA,261097,1091214,6079101,993852,1340860,773949,1075068,1234788,493820,109970,28316,4305,24173,"33-00000-20190404"
"5","State",2019-04-05,"33","NH",NA,NA,262825,1089486,5995998,966125,1312301,756382,1054464,1228215,500234,115324,36123,5207,21623,"33-00000-20190405"
"6","State",2019-04-06,"33","NH",NA,NA,274764,1077547,6015896,957949,1397002,788751,1077359,1177696,438868,119870,36685,6336,15380,"33-00000-20190406"
"7","State",2019-04-07,"33","NH",NA,NA,282818,1069493,5460830,887352,1304180,750117,985843,972119,380453,116995,38658,5336,19777,"33-00000-20190407"
"8","State",2019-04-08,"33","NH",NA,NA,267894,1084417,5481539,844078,1226648,675876,942046,1126986,480124,117353,38046,6150,24232,"33-00000-20190408"
"9","State",2019-04-09,"33","NH",NA,NA,262624,1089687,5607029,863487,1230529,705969,988249,1150159,474104,123154,38123,6808,26447,"33-00000-20190409"
"10","State",2019-04-10,"33","NH",NA,NA,273312,1078999,6121912,937080,1382184,782984,1081289,1283633,506033,101363,24872,3936,18538,"33-00000-20190410"
"11","State",2019-04-11,"33","NH",NA,NA,275427,1076884,6593045,1040569,1432154,857778,1188423,1395936,525369,115369,25544,4006,7897,"33-00000-20190411"
"12","State",2019-04-12,"33","NH",NA,NA,266760,1085551,6373682,991990,1388658,837864,1145725,1347290,503930,115286,30953,5016,6970,"33-00000-20190412"
"13","State",2019-04-13,"33","NH",NA,NA,286035,1066276,6389300,1026658,1445150,849991,1191907,1240155,479904,113725,32475,3738,5597,"33-00000-20190413"
"14","State",2019-04-14,"33","NH",NA,NA,296948,1055363,5819315,970511,1347837,802918,1041014,1074804,424350,112853,33531,4791,6706,"33-00000-20190414"
"15","State",2019-04-15,"33","NH",NA,NA,277974,1074337,5850854,941096,1302614,742012,1040003,1213229,464541,103397,30255,5209,8498,"33-00000-20190415"
"16","State",2019-04-16,"33","NH",NA,NA,269441,1082870,6227025,1019245,1353132,793878,1120591,1271485,518243,111143,25776,4836,8696,"33-00000-20190416"
"17","State",2019-04-17,"33","NH",NA,NA,273666,1078645,6521482,1080382,1431235,822951,1175042,1350067,517813,108981,23498,3744,7769,"33-00000-20190417"
"18","State",2019-04-18,"33","NH",NA,NA,268679,1083632,6421459,1027604,1409496,821364,1171168,1322688,528352,107157,22597,3495,7538,"33-00000-20190418"
"19","State",2019-04-19,"33","NH",NA,NA,264828,1087483,6716813,1097406,1465684,864565,1213601,1370229,542006,122062,28459,4301,8500,"33-00000-20190419"
"20","State",2019-04-20,"33","NH",NA,NA,290255,1062056,6352317,1005779,1461486,879540,1187524,1191431,460681,114905,32810,5681,12480,"33-00000-20190420"
"21","State",2019-04-21,"33","NH",NA,NA,321195,1031116,5384267,883338,1239933,689483,966381,1004580,422724,128801,35886,4795,8346,"33-00000-20190421"
"22","State",2019-04-22,"33","NH",NA,NA,268667,1083644,5227208,848344,1129549,686493,889484,1058649,420080,114237,40337,9160,30875,"33-00000-20190422"
"23","State",2019-04-23,"33","NH",NA,NA,243631,1108680,5242292,855772,1193198,635718,868133,1041627,425389,124101,57337,10257,30760,"33-00000-20190423"
"24","State",2019-04-24,"33","NH",NA,NA,246740,1105571,5534000,876037,1268885,672915,960909,1116849,443044,119999,44039,7182,24141,"33-00000-20190424"
"25","State",2019-04-25,"33","NH",NA,NA,234732,1117579,5582274,882232,1281488,693011,923772,1150046,439271,133615,44852,8954,25033,"33-00000-20190425"
"26","State",2019-04-26,"33","NH",NA,NA,239752,1112559,5611482,843506,1197043,677963,962132,1288992,435353,126905,46970,10146,22472,"33-00000-20190426"
"27","State",2019-04-27,"33","NH",NA,NA,253226,1099085,5513932,892776,1290274,683415,966544,1068856,405787,128413,45876,11506,20485,"33-00000-20190427"
"28","State",2019-04-28,"33","NH",NA,NA,251758,1100553,5080470,836021,1272013,643064,893084,887713,346469,128151,46844,7795,19316,"33-00000-20190428"
"29","State",2019-04-29,"33","NH",NA,NA,238816,1113495,5515600,888373,1221523,676476,914296,1167731,441132,125509,44667,10432,25461,"33-00000-20190429"
"30","State",2019-04-30,"33","NH",NA,NA,234790,1117521,5366296,837372,1204393,685830,892084,1104961,437907,120310,53373,9866,20200,"33-00000-20190430"
"31","State",2019-05-01,"33","NH",NA,NA,237021,1115290,5594274,846728,1233213,678598,940335,1253986,452957,119885,41935,7159,19478,"33-00000-20190501"
"32","State",2019-05-02,"33","NH",NA,NA,253504,1098807,5546975,849458,1250107,703115,965899,1144131,450796,115817,38170,8877,20605,"33-00000-20190502"
"33","State",2019-05-03,"33","NH",NA,NA,262651,1089660,5499978,810137,1216338,753336,983938,1123855,434544,112914,37967,8100,18849,"33-00000-20190503"
"34","State",2019-05-04,"33","NH",NA,NA,276551,1075760,5524066,901620,1268118,761423,999381,1014008,399580,115534,39664,7471,17267,"33-00000-20190504"
"35","State",2019-05-05,"33","NH",NA,NA,275908,1076403,5112759,831915,1197809,720911,899611,923134,354187,110025,43997,8153,23017,"33-00000-20190505"
"36","State",2019-05-06,"33","NH",NA,NA,260077,1092234,5322888,845021,1218115,709860,901336,1079858,400346,93495,26061,7018,41778,"33-00000-20190506"
"37","State",2019-05-07,"33","NH",NA,NA,252378,1099933,5494153,858902,1225861,773088,967977,1089193,411197,88567,28279,7119,43970,"33-00000-20190507"
"38","State",2019-05-08,"33","NH",NA,NA,255854,1096457,5700855,901251,1283089,767226,993652,1163349,419325,92551,26534,7030,46848,"33-00000-20190508"
"39","State",2019-05-09,"33","NH",NA,NA,253643,1098668,5844539,934981,1307071,811872,1009071,1159094,451516,101912,27478,5539,36005,"33-00000-20190509"
"40","State",2019-05-10,"33","NH",NA,NA,244731,1107580,5458123,774700,1213817,733127,1011474,1130032,412604,103978,33633,6457,38301,"33-00000-20190510"
"41","State",2019-05-11,"33","NH",NA,NA,253350,1098961,5744529,909068,1323379,818985,1048009,1058288,388577,114585,36454,6798,40386,"33-00000-20190511"
"42","State",2019-05-12,"33","NH",NA,NA,261119,1091192,4734950,688596,1089818,616918,836044,943860,358010,112616,36659,7700,44729,"33-00000-20190512"
"43","State",2019-05-13,"33","NH",NA,NA,252206,1100105,5022428,772802,1112615,642831,876360,1032031,398090,102376,34316,6875,44132,"33-00000-20190513"
"44","State",2019-05-14,"33","NH",NA,NA,250015,1102296,5269168,799001,1192124,676250,931000,1090662,399292,99934,32089,7139,41677,"33-00000-20190514"
"45","State",2019-05-15,"33","NH",NA,NA,246505,1105806,5425295,855802,1196289,711488,943892,1109313,411193,101851,36528,7665,51274,"33-00000-20190515"
"46","State",2019-05-16,"33","NH",NA,NA,245595,1106716,5475064,860403,1215721,711993,985112,1102135,405400,94466,37684,8035,54115,"33-00000-20190516"
"47","State",2019-05-17,"33","NH",NA,NA,241921,1110390,5565549,865151,1241999,765047,962114,1103892,420556,100956,44742,8315,52777,"33-00000-20190517"
"48","State",2019-05-18,"33","NH",NA,NA,257085,1095226,5792150,948070,1348121,793812,1021927,1086551,390945,101032,42062,7536,52094,"33-00000-20190518"
"49","State",2019-05-19,"33","NH",NA,NA,266940,1085371,5010706,789083,1197313,691058,882440,915142,337807,103176,39698,7642,47347,"33-00000-20190519"
"50","State",2019-05-20,"33","NH",NA,NA,251536,1100775,5229606,765556,1156381,733579,891561,1060889,437257,90244,38152,7027,48960,"33-00000-20190520"
"51","State",2019-05-21,"33","NH",NA,NA,251169,1101142,5707512,894588,1286635,805161,960590,1125670,442506,91023,38989,6384,55966,"33-00000-20190521"
"52","State",2019-05-22,"33","NH",NA,NA,247745,1104566,5863402,930353,1310267,826106,989188,1188216,431344,92857,42786,6484,45801,"33-00000-20190522"
"53","State",2019-05-23,"33","NH",NA,NA,252783,1099528,5537504,842386,1212177,773698,950020,1124097,447492,97014,48279,7260,35081,"33-00000-20190523"
"54","State",2019-05-24,"33","NH",NA,NA,249505,1102806,5754271,881468,1297401,772552,1011684,1160917,432410,105549,47070,7518,37702,"33-00000-20190524"
"55","State",2019-05-25,"33","NH",NA,NA,265103,1087208,5864926,946484,1391085,810420,1037785,1089482,402700,100869,39425,6894,39782,"33-00000-20190525"
"56","State",2019-05-26,"33","NH",NA,NA,267626,1084685,5744767,966011,1336944,856030,963641,1009599,410654,109216,38564,6001,48107,"33-00000-20190526"
"57","State",2019-05-27,"33","NH",NA,NA,272029,1080282,5084305,781650,1238484,816379,838194,862507,341124,116101,45350,6092,38424,"33-00000-20190527"
"58","State",2019-05-28,"33","NH",NA,NA,258908,1093403,5662352,855609,1256952,829143,970437,1147935,425686,94904,42292,6000,33394,"33-00000-20190528"
"59","State",2019-05-29,"33","NH",NA,NA,252874,1099437,5936832,918517,1326691,869545,1027546,1180828,440578,94668,37971,5612,34876,"33-00000-20190529"
"60","State",2019-05-30,"33","NH",NA,NA,251757,1100554,5850468,906047,1299457,844269,1006318,1168777,446689,96830,38592,5717,37772,"33-00000-20190530"
"61","State",2019-05-31,"33","NH",NA,NA,249478,1102833,6101062,952805,1363018,846914,1077898,1215804,458146,104395,39665,5430,36987,"33-00000-20190531"
"62","State",2019-06-01,"33","NH",NA,NA,272993,1079318,5940771,941769,1421637,786774,1088719,1102565,412461,110924,33752,6533,35637,"33-00000-20190601"
"63","State",2019-06-02,"33","NH",NA,NA,275263,1077048,5185581,767092,1203507,699571,925203,937232,351106,112580,48940,13398,126952,"33-00000-20190602"
"64","State",2019-06-03,"33","NH",NA,NA,258877,1093434,5895065,925286,1367765,816308,1011699,1148492,448113,94534,33501,6120,43247,"33-00000-20190603"
"65","State",2019-06-04,"33","NH",NA,NA,257445,1094866,5774086,913676,1299057,773644,1010021,1159282,443389,93602,33950,6568,40897,"33-00000-20190604"
"66","State",2019-06-05,"33","NH",NA,NA,252590,1099721,5540320,825295,1216059,745921,972255,1152626,440103,93804,32298,8240,53719,"33-00000-20190605"
"67","State",2019-06-06,"33","NH",NA,NA,254330,1097981,6006279,939145,1348837,830265,1071429,1195524,445125,94969,33381,8607,38997,"33-00000-20190606"
"68","State",2019-06-07,"33","NH",NA,NA,249716,1102595,6493594,1023492,1453371,936836,1160348,1264615,466977,109197,36940,8820,32998,"33-00000-20190607"
"69","State",2019-06-08,"33","NH",NA,NA,265335,1086976,6526743,1086898,1513091,915768,1177891,1187438,440368,113228,36911,9141,46009,"33-00000-20190608"
"70","State",2019-06-09,"33","NH",NA,NA,269830,1082481,5604254,884185,1341097,769712,969014,1042860,394496,117182,44368,7702,33638,"33-00000-20190609"
"71","State",2019-06-10,"33","NH",NA,NA,261553,1090758,5703299,861048,1310091,719441,1016306,1171434,455439,94384,32520,6850,35786,"33-00000-20190610"
"72","State",2019-06-11,"33","NH",NA,NA,259222,1093089,5707488,850843,1284581,756155,1034753,1169005,445006,94528,31502,5258,35857,"33-00000-20190611"
"73","State",2019-06-12,"33","NH",NA,NA,251795,1100516,5835983,897040,1289324,750118,1039653,1209961,466006,99716,39220,6402,38543,"33-00000-20190612"
"74","State",2019-06-13,"33","NH",NA,NA,254662,1097649,5620428,853034,1270727,724792,999500,1168432,433295,94706,28119,5781,42042,"33-00000-20190613"
"75","State",2019-06-14,"33","NH",NA,NA,253824,1098487,6121984,973158,1357554,809536,1098865,1232219,468991,106524,35894,5437,33806,"33-00000-20190614"
"76","State",2019-06-15,"33","NH",NA,NA,266034,1086277,6268606,1046511,1433438,822635,1122734,1210413,454436,115453,30501,5170,27315,"33-00000-20190615"
"77","State",2019-06-16,"33","NH",NA,NA,270338,1081973,4871542,709806,1179614,660548,842157,927119,358656,108992,39217,6647,38786,"33-00000-20190616"
"78","State",2019-06-17,"33","NH",NA,NA,256817,1095494,5757743,891435,1312427,736369,985302,1225481,443985,93531,31013,5930,32270,"33-00000-20190617"
"79","State",2019-06-18,"33","NH",NA,NA,259569,1092742,5650377,844182,1276081,729988,973794,1232540,438075,88723,29200,5720,32074,"33-00000-20190618"
"80","State",2019-06-19,"33","NH",NA,NA,260392,1091919,5921954,941340,1351479,787183,1036293,1200214,447038,96702,32499,4637,24569,"33-00000-20190619"
"81","State",2019-06-20,"33","NH",NA,NA,254499,1097812,5504682,803368,1234290,717561,948026,1199826,437178,100036,35283,4337,24777,"33-00000-20190620"
"82","State",2019-06-21,"33","NH",NA,NA,253889,1098422,5862611,910211,1317933,783080,1012179,1218408,443579,103030,37609,5503,31079,"33-00000-20190621"
"83","State",2019-06-22,"33","NH",NA,NA,270513,1081798,6222535,1054398,1452461,858721,1099192,1153691,421504,111940,38079,5518,27031,"33-00000-20190622"
"84","State",2019-06-23,"33","NH",NA,NA,252990,1099321,5293961,851243,1199637,724040,909624,963831,423102,120828,46660,6639,48357,"33-00000-20190623"
"85","State",2019-06-24,"33","NH",NA,NA,250651,1101660,5643391,891193,1246310,761108,962804,1137979,463405,99984,34142,7060,39406,"33-00000-20190624"
"86","State",2019-06-25,"33","NH",NA,NA,261607,1090704,5029477,709343,1050519,633914,885303,1091544,468855,100318,38159,5330,46192,"33-00000-20190625"
"87","State",2019-06-26,"33","NH",NA,NA,266768,1085543,5228997,762982,1134398,680917,910101,1109743,446972,100676,39948,5563,37697,"33-00000-20190626"
"88","State",2019-06-27,"33","NH",NA,NA,268358,1083953,5325198,786086,1163571,721308,879088,1132150,454282,108119,41887,5921,32786,"33-00000-20190627"
"89","State",2019-06-28,"33","NH",NA,NA,261801,1090510,5469565,830201,1165538,705999,953825,1146823,464664,114483,46160,7062,34810,"33-00000-20190628"
"90","State",2019-06-29,"33","NH",NA,NA,272864,1079447,5271657,819522,1176196,689743,913046,1048213,425130,110174,45833,6159,37641,"33-00000-20190629"
"91","State",2019-06-30,"33","NH",NA,NA,263898,1088413,4683266,690956,1061563,614284,803582,921067,385575,112504,47699,6273,39763,"33-00000-20190630"
"92","State",2019-07-01,"33","NH",NA,NA,267484,1084827,5207211,807777,1129126,641549,880488,1050401,512355,96192,36618,6391,46314,"33-00000-20190701"
"93","State",2019-07-02,"33","NH",NA,NA,265266,1087045,5272455,782132,1158764,663542,916435,1130287,434927,97377,34297,6882,47812,"33-00000-20190702"
"94","State",2019-07-03,"33","NH",NA,NA,262459,1089852,5455713,860693,1205681,690932,942476,1119553,455207,100447,34203,6772,39749,"33-00000-20190703"
"95","State",2019-07-04,"33","NH",NA,NA,284040,1068271,4821333,750477,1128734,617370,816880,929785,384868,112722,37353,7584,35560,"33-00000-20190704"
